,Order,Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB,Batting Team,Bowling Team,Match ID,Match No,Season,Season Match No
448,2,CJ McKay,4.0,0,25,3,6.25,,,,1,0,Hobart Hurricanes,Melbourne Stars,571239,39,BBL02,8
449,3,SL Malinga,4.0,0,19,2,4.75,,,,0,0,Hobart Hurricanes,Melbourne Stars,571239,39,BBL02,8
450,4,JP Faulkner,4.0,0,23,2,5.75,,,,0,0,Hobart Hurricanes,Melbourne Stars,571239,39,BBL02,8
451,5,SK Warne,4.0,0,31,0,7.75,,,,0,0,Hobart Hurricanes,Melbourne Stars,571239,39,BBL02,8
452,6,CL White,2.0,0,12,1,6.0,,,,1,0,Hobart Hurricanes,Melbourne Stars,571239,39,BBL02,8
453,7,LJ Wright,1.0,0,14,0,14.0,,,,0,0,Hobart Hurricanes,Melbourne Stars,571239,39,BBL02,8
454,1,DE Bollinger,4.0,2,22,2,5.5,,,,0,0,Melbourne Stars,Hobart Hurricanes,571239,39,BBL02,8
455,2,MG Hogan,4.0,0,30,1,7.5,,,,0,0,Melbourne Stars,Hobart Hurricanes,571239,39,BBL02,8
456,3,XJ Doherty,2.0,0,12,0,6.0,,,,0,0,Melbourne Stars,Hobart Hurricanes,571239,39,BBL02,8
457,4,B Laughlin,4.0,0,14,3,3.5,,,,0,0,Melbourne Stars,Hobart Hurricanes,571239,39,BBL02,8
458,5,SB Styris,2.0,0,27,0,13.5,,,,0,0,Melbourne Stars,Hobart Hurricanes,571239,39,BBL02,8
459,6,EP Gulbis,3.1,0,28,0,8.84,,,,0,1,Melbourne Stars,Hobart Hurricanes,571239,39,BBL02,8
460,1,AC Thomas,4.0,0,27,2,6.75,,,,1,0,Sydney Sixers,Perth Scorchers,571240,40,BBL02,9
461,2,MA Beer,4.0,0,19,2,4.75,,,,0,0,Sydney Sixers,Perth Scorchers,571240,40,BBL02,9
462,3,NM Coulter-Nile,4.0,0,9,1,2.25,,,,0,0,Sydney Sixers,Perth Scorchers,571240,40,BBL02,9
463,4,GB Hogg,4.0,0,15,1,3.75,,,,0,0,Sydney Sixers,Perth Scorchers,571240,40,BBL02,9
464,5,HWR Cartwright,4.0,0,41,2,10.25,,,,1,0,Sydney Sixers,Perth Scorchers,571240,40,BBL02,9
465,1,B Lee,4.0,0,27,0,6.75,,,,1,1,Perth Scorchers,Sydney Sixers,571240,40,BBL02,9
466,2,LW Feldman,3.2,0,13,1,3.9,,,,1,0,Perth Scorchers,Sydney Sixers,571240,40,BBL02,9
467,3,SP Narine,4.0,0,16,0,4.0,,,,1,1,Perth Scorchers,Sydney Sixers,571240,40,BBL02,9
468,4,SNJ O'Keefe,4.0,0,35,1,8.75,,,,1,0,Perth Scorchers,Sydney Sixers,571240,40,BBL02,9
469,5,BMAJ Mendis,4.0,0,19,1,4.75,,,,0,0,Perth Scorchers,Sydney Sixers,571240,40,BBL02,9
470,1,AC Thomas,3.0,0,15,2,5.0,,,,0,0,Brisbane Heat,Perth Scorchers,571241,41,BBL02,10
471,2,MA Beer,4.0,0,17,2,4.25,,,,0,0,Brisbane Heat,Perth Scorchers,571241,41,BBL02,10
472,3,NM Coulter-Nile,3.0,0,39,0,13.0,,,,0,0,Brisbane Heat,Perth Scorchers,571241,41,BBL02,10
473,4,GB Hogg,2.0,0,18,0,9.0,,,,0,0,Brisbane Heat,Perth Scorchers,571241,41,BBL02,10
474,5,HWR Cartwright,1.1,0,18,0,15.42,,,,1,0,Brisbane Heat,Perth Scorchers,571241,41,BBL02,10
475,1,KAJ Roach,1.0,0,5,0,5.0,,,,0,0,Perth Scorchers,Brisbane Heat,571241,41,BBL02,10
476,2,BCJ Cutting,1.0,0,11,0,11.0,,,,0,0,Perth Scorchers,Brisbane Heat,571241,41,BBL02,10
477,3,JR Hopes,1.0,0,6,1,6.0,,,,0,0,Perth Scorchers,Brisbane Heat,571241,41,BBL02,10
478,4,DT Christian,1.0,0,21,0,21.0,,,,0,0,Perth Scorchers,Brisbane Heat,571241,41,BBL02,10
479,5,NLTC Perera,0.2,0,8,0,24.0,,,,0,0,Perth Scorchers,Brisbane Heat,571241,41,BBL02,10
480,1,AW O'Brien,4.0,0,19,1,4.75,,,,1,0,Hobart Hurricanes,Melbourne Renegades,571242,42,BBL02,11
481,2,DJ Pattinson,2.0,0,16,0,8.0,,,,0,0,Hobart Hurricanes,Melbourne Renegades,571242,42,BBL02,11
482,3,WD Sheridan,2.0,0,6,0,3.0,,,,0,0,Hobart Hurricanes,Melbourne Renegades,571242,42,BBL02,11
